Balda,RegCasa,place_id,Latitude,Longitude,Balda_Adj
الجديدة ,مرجعيون,ChIJg9XW4HPAHhURNvg_zUCLMbo,33.3591165,35.5928298,الجديدة 
الخرنوب,الضنية,ChIJS6lkyjsZIhURQpwOjZlas5o,34.4027039,36.0161528,الخرنوب
الخريبه ,بعلبك,ChIJp1n5BeW7GBURNB7Jb4fimP4,33.8728415,36.1630504,الخريبه 
الخضر ,بعلبك,ChIJD6_730W6GBUR8IvzC2-DlRI,33.90362260000001,36.1205594,الخضر 
الدلهمية,زحلة,ChIJBwo8TarLGBURJEA_TdX_nQw,33.813190899999995,35.9614355,الدلهمية
الديشونية,المتن,ChIJJa0rGmY9HxUREhRLGLesoHc,33.85127670000001,35.5762029,الديشونية
السنديانة,عكار,ChIJrVstoDY2IhURMNYHagb1EoM,34.576387,36.2454971,السنديانة
الشويفات ,عاليه,ChIJ1_J8-6oZHxURqnsofCx2iM8,33.8095311,35.51981129999999,الشويفات 
الشياح ,بعبدا,ChIJrfnqEGEXHxURDPyp5-uFmiw,33.86598370000001,35.51753820000001,الشياح 
الغبيري ,بعبدا,ChIJSV-4XWYXHxURAvK-Sq-HiJc,33.8597816,35.5028843,الغبيري 
المجذوب و مزهر,المتن,ChIJ33x5TnI-HxURcu5lbD8dya8,33.9035309,35.5942948,المجذوب و مزهر
المطيلب,المتن,ChIJ6do7tfs-HxURiNmKVqugdCI,33.92415379999999,35.6164919,المطيلب
المقيطع,عكار,ChIJexAPyBokIhURvH3n8PQtlC4,34.5584836,35.9990909,المقيطع
النبي شيت ال,بعلبك,ChIJnWkdYo25GBUR3HPz4mdZGDQ,33.8723008,36.1127818,النبي شيت ال
النبي شيت ,بعلبك,ChIJnWkdYo25GBUR3HPz4mdZGDQ,33.8723008,36.1127818,النبي شيت 
النفاخية,صور,ChIJ3zw8ePyPHhURxM814YJuf7A,33.2709592,35.385122,النفاخية
النوره,عكار,ChIJp07VNLA2IhURDgvRiSa71xg,34.6201638,36.1844067,النوره
انان,جزين,ChIJZT7231rmHhURJiXJ6aDHROE,33.5680875,35.50831779999999,انان
برج البراجنة ,بعبدا,ChIJsYxDrsQZHxURaOsRiLFJ6Ig,33.8434708,35.49873510000001,برج البراجنة 
بريتال ,بعلبك,ChIJWVsIxju7GBURXiOTeqs6KhM,33.934864399999995,36.1480826,بريتال 
تبنين ,بنت جبيل,ChIJhVUrCEGbHhUR4gqcUdCf6E8,33.1939915,35.409673100000006,تبنين 
حارة حريك ,بعبدا,ChIJSWNNEnwXHxURKJcuTQj_sa4,33.8520277,35.5153726,حارة حريك 
حاصبيا ,حاصبيا,ChIJZRTqxJzGHhURSN1ub3SXoeU,33.3979078,35.6851499,حاصبيا 
حور تعلا ,بعلبك,ChIJTWo0qAW7GBURQgbkQFoq8Kk,33.9182883,36.1414859,حور تعلا 
دورس ,بعلبك,ChIJsa-w7nakGBURGOQyS6IvJJQ,33.991083700000004,36.17256879999999,دورس 
راشيا ,راشيَا,ChIJiRpmT_fTHhURzk5rfnKBjZg,33.5018825,35.8398218,راشيا 
زغرتا ,زغرتا,ChIJC_zEGRb2IRURv9FKk2hF3M4,34.3963158,35.89584439999999,زغرتا 
سرعين الفوقا ,بعلبك,ChIJHVGEMeO5GBURMqzUCo4cgWY,33.878645,36.0928778,سرعين الفوقا 
سن الفيل ,المتن,ChIJNVIex7QXHxURSi8RktEcP4Q,33.8779688,35.5399541,سن الفيل 
شحيم ,الشوف,ChIJNVt8SlPhHhUR2hwffEozMT4,33.6236508,35.4850097,شحيم 
شعث ,بعلبك,ChIJ2fiVRW8LIhURzMn99QIUgKU,34.13996289999999,36.2352005,شعث 
عين ابل ,بنت جبيل,ChIJUYU_VEWdHhURFFqk-xyOfeA,33.111568,35.4017195,عين ابل 
مشيلحة الحاكور,عكار,ChIJM0436oMkIhURFL5JmF4_GUQ,34.525215700000004,36.0526417,مشيلحة الحاكور
نبحا ,بعلبك,ChIJ9yswEPoMIhUR1FGOucNXKUA,34.1832504,36.2259264,نبحا 
