Balda,RegCasa,place_id,Latitude,Longitude,Balda_Adj
أفقا,جبيل,ChIJ4_rUieNSHxUR2jw0wC9W4pI,34.069904799999996,35.8860993,أفقا
ابل السقي,مرجعيون,ChIJG8EiPJTAHhURNqAPDB60l1M,33.3572785,35.6275686,ابل السقي
ابلح,زحلة,ChIJf6-TZ521GBURPkqTqq4Jxxg,33.8668951,35.95935989999999,ابلح
ابو قمحة,حاصبيا,ChIJ1wugEM_GHhURFGmHsCaSM9g,33.3825588,35.6621669,ابو قمحة
ابو ميزان,المتن,ChIJewT-popHHxURhp3l4opdXFg,33.936769,35.7179735,ابو ميزان
اجبع,زغرتا,ChIJKw04PMICIhUR2gXLnmvouN4,34.30881520000001,35.9433792,اجبع
اجدبرا,البترون,ChIJbw0w3nJVHxUR4wX_1Id_cvc,34.249832,35.6642904,اجدبرا
ادما الدفنه,كسروان,ChIJvUrxTEFBHxURNQ6YixlA3sA,34.026079100000004,35.6367369,ادما الدفنه
اده,البترون,ChIJYwPgh_RYHxURrCZdf94Lpgg,34.2343721,35.6922171,اده
ارده,زغرتا,ChIJT8HXhAEeIhURINdByYcjxCY,34.4080321,35.9147179,ارده
ارزون,صور,ChIJ_TX44OiPHhURPGD7nZUX08U,33.2828844,35.3769757,ارزون
ارزي,صيدا,ChIJ7w6h79GOHhUR5T4L0hXyVR4,33.3373127,35.3090551,ارزي
ارصون,بعبدا,ChIJMb3XmtI7HxUReKXywwhZg0I,33.860379200000004,35.6905583,ارصون
اركي,صيدا,ChIJCceSAr3tHhURIuCML1sY-Hg,33.462345899999995,35.415094,اركي
ارنون,النبطية,ChIJMUa6jauVHhURiAgILoiVIfQ,33.3315081,35.5258779,ارنون
اسلوت,زغرتا,ChIJi95pMNQcIhURWJpgeaRFywk,34.324574,35.96209589999999,اسلوت
اصنون,زغرتا,ChIJnZKkh0v2IRUREMRHFXEILh4,34.3870224,35.8880755,اصنون
اصيا,البترون,ChIJCwlz2qNYHxURmHIDmp8reck,34.249832,35.6642904,اصيا
اغبه,كسروان,ChIJaajN8G9GHxUR3FEidP28kLY,34.0090756,35.7061467,اغبه
اكروم,عكار,ChIJ0a37atI6IhURVKKXUT_rIZg,34.5549061,36.093277,اكروم
الاشرفية,بيروت,ChIJjS91nv8WHxURzBaBOflEp-8,33.8868891,35.5191704,الاشرفية
البابلية,صيدا,ChIJAeK2ENmMHhUR5txOjvD-2fo,33.4217267,35.3431251,البابلية
الباروك,الشوف,ChIJE4CAN70mHxURntvtx-8tTrI,33.707145399999995,35.6736186,الباروك
البازورية,صور,ChIJ0UbjW_CGHhURJHv0qLRd4KA,33.2540738,35.271543,البازورية
الباشورة,بيروت,ChIJhzi8zx8XHxUR3VV4gl4jGlg,33.8915689,35.502449799999994,الباشورة
البترون,البترون,ChIJCefGTLJYHxURrdwFVHrEaP0,34.249832,35.6642904,البترون
البحصاص,الكوره,ChIJ0bps4TLxIRURM7wHg0xV-bk,34.4167955,35.82637360000001,البحصاص
البحيره,زغرتا,ChIJEUJ2uzv4IRURK7EoY-UGdYc,34.3341042,35.88626220000001,البحيره
البداوي,طرابلس,ChIJ0a28AbX1IRUR1GyVR8G0XGA,34.4528555,35.864630700000006,البداوي
البرامية,صيدا,ChIJOairkv_vHhURLiUIiWgqTkg,33.575125,35.3918864,البرامية
البرباره,زحلة,ChIJ05nxojw1HxURpt9qQOunIF4,33.8495019,35.89943010000001,البرباره
البرج,عكار,ChIJrQP7T9FYHxUR2MkyHp_ir7I,34.2336802,35.65946479999999,البرج
البرجين,الشوف,ChIJdcbjgXnhHhURZB0SZdK-YRw,33.657495399999995,35.4864223,البرجين
البرغلية,صور,ChIJV-MAUHSIHhURUrlZe9y_NCQ,33.3142997,35.2402445,البرغلية
البساتين,عاليه,ChIJ_9Eu-y4fHxURGGAOi5kg3uk,33.7582664,35.5295578,البساتين
البستان,صور,ChIJq6XdB6orHBURUHSuVm3446M,33.1009192,35.2550313,البستان
البقيعة,عكار,ChIJPUhSKaa0IxURTuxtm0rKoQE,34.661978399999995,36.346728399999996,البقيعة
البنيه,عاليه,ChIJEV2H724fHxURXOJJYqIVu5o,33.7355479,35.54839829999999,البنيه
البوار,كسروان,ChIJWcRezOBDHxURJzsQMhmQSN8,34.0473482,35.63323079999999,البوار
البوشرية,المتن,ChIJrfzZVSgWHxUR3hJ802aael0,33.878715899999996,35.5631773,البوشرية
البياض,صور,ChIJYdMSiHWEHhURih499TpjmWY,33.2041464,35.3281588,البياض
البيره,الشوف,ChIJIxTjB1shHxURkl_V-fsUdBE,33.721633700000005,35.6389509,البيره
البيساريه,صيدا,ChIJCecjbUrzHhUREb8RjXFO8_U,33.4447816,35.32384279999999,البيساريه
التبانة,طرابلس,ChIJ6cU8Fh_0IRURKKijKXoQBaU,34.43990220000001,35.8480042,التبانة
التعزانيه,عاليه,ChIJAT0YhA8jHxURQnnbchxXPy0,33.7816985,35.6208651,التعزانيه
التل,طرابلس,ChIJ96MMgqj2IRURuEglSO4hja4,34.43659830000001,35.8388797,التل
الجاهلية,الشوف,ChIJzf2wZrDhHhURHHP27IYXUNs,33.665553100000004,35.5121265,الجاهلية
الجبانيه,بعلبك,ChIJT8D4hxsMIhURrN_cz0Gb9so,34.1813158,36.18169650000001,الجبانيه
الجبين,صور,ChIJye2xvN0qHBURDFNlPzTeXDU,33.1228816,35.2351549,الجبين
الجديدة,المتن,ChIJ6ZepCh8WHxURTAk1IjyPoMI,33.8918998,35.5630426,الجديدة
الجرمق,جزين,ChIJHy2e7cTqHhURdDAGh-Js5ps,33.3854614,35.5349278,الجرمق
الجليسة,جبيل,ChIJ66-GViFbHxURMGOI3VUvJSc,34.1158459,35.6917252,الجليسة
الجميجمه,بنت جبيل,ChIJR6XStqybHhUR7EOsJUgf0Bk,33.20627,35.44087120000001,الجميجمه
الجميلية,الشوف,ChIJc87qEwTlHhURAFepgP2a8b0,33.600289000000004,35.426453,الجميلية
الجوار,المتن,ChIJpYqNDwc4HxURPLOz4N-DWwU,33.9284293,35.73125770000001,الجوار
الجيه,الشوف,ChIJYRHesg_jHhURQtPUMa2lnU8,33.6700643,35.4253006,الجيه
الحارة,صيدا,ChIJ2UhcHCLwHhURHpmEMia8TLM,33.5575701,35.3849148,الحارة
الحازمية,بعبدا,ChIJsY4FKZEXHxURDIkFFznrgDU,33.8553409,35.5358859,الحازمية
الحجة,صيدا,ChIJWwHdPXLyHhURDLKPLFQ0gg8,33.4773329,35.38100319999999,الحجة
الحدادين,طرابلس,ChIJB_nZOKH2IRURg8NWvZfNgpg,34.4337224,35.845333200000006,الحدادين
الحديد,طرابلس,ChIJgWKwlKD2IRUR4lChAOh_NBE,34.435815399999996,35.8460061,الحديد
الحرف,جزين,ChIJlQwR4GXnHhUR0OgHjwp08EY,33.5765023,35.5578758,الحرف
الحريقة,الهرمل,ChIJdf2ZZGJPIhURZGzk46ZLsrA,34.4877297,36.379218200000004,الحريقة
الحسانيه,جزين,ChIJXWlxhB7vHhURjj3fWqiFJA8,33.520014399999994,35.4511705,الحسانيه
الحصون,جبيل,ChIJqY6aIqlaHxURxlkspRPsTv4,34.092770200000004,35.7365545,الحصون
الحصين,كسروان,ChIJ0Qx-jb5FHxURJic0zvlDdgw,34.03850360000001,35.7154381,الحصين
الحلانية,بعلبك,ChIJ_cABg922GBURUCP7hEN-1Js,33.885914299999996,36.0406494,الحلانية
الحلوسية,صور,ChIJX-CA3xWPHhUROO3Zh2dprfI,33.3078751,35.32620460000001,الحلوسية
الحمصيه,جزين,ChIJDTCz04_nHhURbltS4GjVukA,33.5489686,35.55666510000001,الحمصيه
