Balda,RegCasa,place_id,Latitude,Longitude
أجدعبرين,الكوره,,,
ادونيس وسنور,جبيل,,,
اغميد,عاليه,,,
الانصار,بعلبك,,,
البرانية ,بعلبك,,,
البص قسم 1,صور,,,
البص قسم 3,صور,,,
البص قسم 5,صور,,,
البطال,الشوف,,,
البقيعه ومسرح,البترون,,,
البويضة,مرجعيون,,,
البويضة الشمالية,الهرمل,,,
التليل,عكار,,,
التوفيقيه,بعلبك,,,
التويتة,زحلة,,,
الجديدة ,مرجعيون,,,
الجليلية,الشوف,,,
الحدث الشمالي,بعلبك,,,
الحدث الغربي,بعلبك,,,
الحدث قبلي,بعبدا,,,
الحويش,عكار,,,
الخاربة,جبيل,,,
الخرنوب,الضنية,,,
الخريبه ,بعلبك,,,
الخضر ,بعلبك,,,
الدكرمان,صيدا,,,
الدلافه,حاصبيا,,,
الدلهمية,زحلة,,,
الدوسه,عكار,,,
الديشونية,المتن,,,
الراسية التحتا,زحلة,,,
الراسية الفوقا,زحلة,,,
الريش الغربي,بعلبك,,,
الريش ,بعلبك,,,
الزويتيني,صيدا,,,
السريرة,جزين,,,
السفيرة,الضنية,,,
السنديانة,عكار,,,
الشاويه والقنيطره,المتن,,,
الشواغير التحتا,الهرمل,,,
الشواغير الفوقا,الهرمل,,,
الشويفات ,عاليه,,,
الشياح ,بعبدا,,,
الصوانية,بعلبك,,,
الظهيرة,صور,,,
العبره وشوان,كسروان,,,
العقيدية,بعلبك,,,
العلاق,بعلبك,,,
الغباطية,جزين,,,
الغبيري ,بعبدا,,,
الفاكهه مار جرجس,بعلبك,,,
الفتاحات وهربونا,البترون,,,
الفرزل التحتا,زحلة,,,
الفرزل الفوقا,زحلة,,,
القبيات غوايا,عكار,,,
القبيات مرتموره,عكار,,,
القرنية,الهرمل,,,
الكحلونية,بعبدا,,,
الكشك,صيدا,,,
الكنان,صيدا,,,
المجذوب و مزهر,المتن,,,
المحتقرة ودير المخلص,الشوف,,,
الم,المتن,,,
المزاريب,جبيل,,,
المسالخية,صيدا,,,
المطل,الضنية,,,
المطيلب,المتن,,,
المعلقة الشمالي,زحلة,,,
المغروبلا,بشري,,,
المغيري,جبيل,,,
المقيطع,عكار,,,
المونسه,عكار,,,
الميدان الشرقي,زحلة,,,
الميدان الغربي,زحلة,,,
النبي شيت ال,بعلبك,,,
النبي شيت ,بعلبك,,,
النبي شيت طبشار,بعلبك,,,
النبي نعام,بعلبك,,,
النفاخية,صور,,,
النقره,بعلبك,,,
النمورة و كفرجريف,كسروان,,,
النهريه وبستان الحرش,عكار,,,
النوره,عكار,,,
الوقف,زحلة,,,
انان,جزين,,,
بتخنيه,بعبدا,,,
بتياس,زحلة,,,
بجدرفل,البترون,,,
بحنين وكفرتعلا,جزين,,,
بحواره,عاليه,,,
بخشتيه,عاليه,,,
بدبهون,الكوره,,,
برج البراجنة ,بعبدا,,,
بريتال اليونسية,بعلبك,,,
بريتال ,بعلبك,,,
بريتال شميس,بعلبك,,,
بريتال شميس غربي,بعلبك,,,
بطلون,عاليه,,,
بعقلين التحتا,الشوف,,,
بعقلين الفوقا,الشوف,,,
بقاعكفرا,بشري,,,
بقرزلا,عكار,,,
بقعتوته,كسروان,,,
بني صخر,عكار,,,
بو زريده,عاليه,,,
بيت الككو,المتن,,,
بيت حاويك,الضنية,,,
بيت شباب تحتاني,المتن,,,
بيت شباب فوقاني,المتن,,,
بيت صليبي,بعلبك,,,
بيت غطاس,عكار,,,
بيت مندر,بشري,,,
تبنين الكاثوليك,بنت جبيل,,,
تبنين ,بنت جبيل,,,
تحويطة النهر,بعبدا,,,
ترتج,جبيل,,,
تل ذنوب,البقاع الغربي,,,
تلحميرة,عكار,,,
تولا الجبه,زغرتا,,,
جدرا - وادي الزينة,الشوف,,,
جرمنايا,عكار,,,
جنه ومار سركيس,جبيل,,,
حاجي جبلي,زحلة,,,
حارة البطم,بعبدا,,,
حارة الخاصة,الكوره,,,
حارة حريك ,بعبدا,,,
حارة حريك قرانوح,بعبدا,,,
حاصبيا ,حاصبيا,,,
حكر الشيخ طابا,عكار,,30.049433,31.2011875
حميص,زغرتا,,,
حور تعلا ,بعلبك,,,
حوش الزراعنة,زحلة,,,
,صور,,,
,بنت جبيل,,,
,بعلبك,,,
,زحلة,,,
,زغرتا,,,
,النبطية,,,
,بشري,,,
,الهرمل,,,
,جزين,,,
خريبة الجرد,عكار,,,
خضربك,زحلة,,,
دار شمزين,الكوره,,,
داعل,البترون,,,
دملصا,جبيل,,,
دورس الشحاديه,بعلبك,,,
دورس ,بعلبك,,,
دوير الرمان,عاليه,,,
دير خونا وتلتيته,بعبدا,,,
ذوق الحبالصة,عكار,,,
ذوق المقشرين,عكار,,,
راشكيدا,البترون,,,
راشيا الفوقا,راشيَا,,,
راشيا ,راشيَا,,,
رشكده,البترون,,,
رماسا,بعلبك,,,
ريمات وشقاديف,جزين,,,
زغرتا ,زغرتا,,,
سردا والعمرا,مرجعيون,,,
سرعين الفوقا ,بعلبك,,,
سلساتا,راشيَا,,,
سلفايا,عاليه,,,
سن الفيل ,المتن,,,
شبعا الشرقي,حاصبيا,,,
شبعا الغربي,حاصبيا,,,
ش,الشوف,,,
شعث ,بعلبك,,,
شمسطار الجنوبي,بعلبك,,,
شمسطار الشرقي,بعلبك,,,
شمسطار الشمالي,بعلبك,,,
شمسطار الغربي,بعلبك,,,
شمع,صور,,,
شهابية الفاعور,زحلة,,,
شوريت,الشوف,,,
صبوبا,بعلبك,,,
ضهر القنبر,عكار,,,
ضهور الهوا,الكوره,,,
طاريا الجنوبي,بعلبك,,,
طاريا الشمالي,بعلبك,,,
ظهر الليسينة,عكار,,,
عاليه وسطاني,عاليه,,,
عترين,الشوف,,,
عمار البيكات,عكار,,,
عنايا وكفربعال,جبيل,,,
عوره,البترون,,,
عين ابل ,بنت جبيل,,,
عين الذهب (دنبو قديما),عكار,,,
عين الزرقا,صور,,,
عين السوداء,بعلبك,,,
عين الشلال,جبيل,,,
عين الغويبه,جبيل,,,
عين المرج,عاليه,,,
عين تراز,عاليه,,,
عين جويق,عاليه,,,
غزير الجامع,كسروان,,,
غزير القناة,كسروان,,,
غفره,بعلبك,,,
فرض,عكار,,30.051626,31.2341402
فيسان,الهرمل,,,
قب الياس التحتا,زحلة,,,
قب الياس الفوقا,زحلة,,,
قبة دورس,بعلبك,,,
قبلي,عاليه,,,
قتالي,جزين,,,
قرحه,عكار,,,
قرطبا الجنوبية,جبيل,,,
قرطبا الشمالية,جبيل,,,
قطين و,جزين,,,
قلد السبع,بعلبك,,,
قليا,البقاع الغربي,,,
قندولا,البترون,,,
قنيور,بشري,,,
كابوسية,زحلة,,,
كفربنين,المنية,,,
كفرتون,عكار,,,
كفرتيه,المتن,,,
كفرجرة,جزين,,,
كفر,الشوف,,,
كفردان الغربي,بعلبك,,,
كفردبش,بعلبك,,,
كفرشلان,المنية,,,
كفرشليمان,البترون,,,
كفرقطرة,الشوف,,,
كفرمسحون,جبيل,,,
كفرنون,عكار,,,
مار شعيا والمزكه,المتن,,,
مجدلونا,الشوف,,,
محلة المسي,بعلبك,,,
مدوخا,راشيَا,,,
مراح السراج,المنية,,,
مراح السفيره,الضنية,,,
مزرعة آل سويدان,بعلبك,,,
مزرعة ابو صليبي,بعلبك,,,
مزرعة التوت,بعلبك,,,
مزرعة الضليل,بعلبك,,,
مزرعة الفريديس,زغرتا,,,
مزرعة المطحنة,جزين,,,
مزرعة بيت الفقيه,الهرمل,,,
مزرعة بيت مطر,بعلبك,,,
مزرعة حوقا,زغرتا,,,
مزرعة سجد,الهرمل,,,
مشيلحة الحاكور,عكار,,,
مصنع الزهره,بعلبك,,,
مقنه,بعلبك,,,
مكسر العبد,صيدا,,,
نبحا المحفارة,بعلبك,,,
نبحا ,بعلبك,,,
نحلا,البترون,,,
هرهريا والقطين,كسروان,,,
هيتلا,عكار,,,
وادي الرطل,الهرمل,,,
وادي الزين,بعلبك,,,
وادي الصفا الشرقي,بعلبك,,,
وادي العس,الهرمل,,,
وادي المشمشه,بعلبك,,,
وادي بنحلية,الشوف,,,
وادي بنيت,الهرمل,,,
يوغون اولوك,زحلة,,,
