Balda,RegCasa,place_id,Latitude,Longitude
أجدعبرين,الكوره,,,
ادونيس وسنور,جبيل,,,
اغميد,عاليه,,,
الانصار,بعلبك,,,
البرانية ,بعلبك,,,
البص قسم 1,صور,,,
البص قسم 3,صور,,,
البص قسم 5,صور,,,
البطال,الشوف,,,
البقيعه ومسرح,البترون,,,
البويضة,مرجعيون,,,
البويضة الشمالية,الهرمل,,,
التليل,عكار,,,
التوفيقيه,بعلبك,,,
التويتة,زحلة,,,
الجديدة ,مرجعيون,ChIJg9XW4HPAHhURNvg_zUCLMbo,33.3591165,35.5928298
الجليلية,الشوف,,,
الحدث الشمالي,بعلبك,,,
الحدث الغربي,بعلبك,,,
الحدث قبلي,بعبدا,,,
الحويش,عكار,ChIJpYs9ip08IhURspZ6-pboRrY,34.4992312,36.1181542
الخاربة,جبيل,,,
الخرنوب,الضنية,ChIJS6lkyjsZIhURQpwOjZlas5o,34.4027039,36.0161528
الخريبه ,بعلبك,ChIJp1n5BeW7GBURNB7Jb4fimP4,33.8728415,36.1630504
الخضر ,بعلبك,ChIJD6_730W6GBUR8IvzC2-DlRI,33.9036226,36.1205594
الدكرمان,صيدا,,,
الدلافه,حاصبيا,,,
الدلهمية,زحلة,,,
الدوسه,عكار,,,
الديشونية,المتن,ChIJJa0rGmY9HxUREhRLGLesoHc,33.8512767,35.5762029
الراسية التحتا,زحلة,,,
الراسية الفوقا,زحلة,,,
الريش الغربي,بعلبك,,,
الريش ,بعلبك,,,
الزويتيني,صيدا,,,
السريرة,جزين,,,
السفيرة,الضنية,,,
السنديانة,عكار,ChIJrVstoDY2IhURMNYHagb1EoM,34.576387,36.2454971
الشاويه والقنيطره,المتن,,,
الشواغير التحتا,الهرمل,,,
الشواغير الفوقا,الهرمل,,,
الشويفات ,عاليه,ChIJ1_J8-6oZHxURqnsofCx2iM8,33.8095311,35.5198113
الشياح ,بعبدا,ChIJrfnqEGEXHxURDPyp5-uFmiw,33.8659837,35.5175382
الصوانية,بعلبك,,,
الظهيرة,صور,,,
العبره وشوان,كسروان,,,
العقيدية,بعلبك,,,
العلاق,بعلبك,,,
الغباطية,جزين,,,
الغبيري ,بعبدا,ChIJSV-4XWYXHxURAvK-Sq-HiJc,33.8597816,35.5028843
الفاكهه مار جرجس,بعلبك,,,
الفتاحات وهربونا,البترون,,,
الفرزل التحتا,زحلة,,,
الفرزل الفوقا,زحلة,,,
القبيات غوايا,عكار,,,
القبيات مرتموره,عكار,,,
القرنية,الهرمل,,,
الكحلونية,بعبدا,,,
الكشك,صيدا,,,
الكنان,صيدا,,,
المجذوب و مزهر,المتن,,,
المحتقرة ودير المخلص,الشوف,,,
الم,المتن,ChIJhRGpDiUWHxURMGsUjcJEHuw,33.8843757,35.5572081
المزاريب,جبيل,,,
المسالخية,صيدا,,,
المطل,الضنية,,,
المطيلب,المتن,ChIJ6do7tfs-HxURiNmKVqugdCI,33.9241538,35.6164919
المعلقة الشمالي,زحلة,,,
المغروبلا,بشري,,,
المغيري,جبيل,,,
المقيطع,عكار,ChIJexAPyBokIhURvH3n8PQtlC4,34.5584836,35.9990909
المونسه,عكار,,,
الميدان الشرقي,زحلة,,,
الميدان الغربي,زحلة,,,
النبي شيت ال,بعلبك,ChIJnWkdYo25GBUR3HPz4mdZGDQ,33.8723008,36.1127818
النبي شيت ,بعلبك,ChIJnWkdYo25GBUR3HPz4mdZGDQ,33.8723008,36.1127818
النبي شيت طبشار,بعلبك,,,
النبي نعام,بعلبك,,,
النفاخية,صور,,,
النقره,بعلبك,,,
النمورة و كفرجريف,كسروان,,,
النهريه وبستان الحرش,عكار,,,
النوره,عكار,ChIJp07VNLA2IhURDgvRiSa71xg,34.6201638,36.1844067
الوقف,زحلة,,,
انان,جزين,ChIJZT7231rmHhURJiXJ6aDHROE,33.5680875,35.5083178
بتخنيه,بعبدا,,,
بتياس,زحلة,,,
بجدرفل,البترون,,,
بحنين وكفرتعلا,جزين,,,
بحواره,عاليه,,,
بخشتيه,عاليه,,,
بدبهون,الكوره,,,
برج البراجنة ,بعبدا,ChIJsYxDrsQZHxURaOsRiLFJ6Ig,33.8434708,35.4987351
بريتال اليونسية,بعلبك,,,
بريتال ,بعلبك,ChIJWVsIxju7GBURXiOTeqs6KhM,33.9348644,36.1480826
بريتال شميس,بعلبك,,,
بريتال شميس غربي,بعلبك,,,
بطلون,عاليه,,,
بعقلين التحتا,الشوف,,,
بعقلين الفوقا,الشوف,,,
بقاعكفرا,بشري,,,
بقرزلا,عكار,,,
بقعتوته,كسروان,,,
بني صخر,عكار,,,
بو زريده,عاليه,,,
بيت الككو,المتن,,,
بيت حاويك,الضنية,,,
بيت شباب تحتاني,المتن,,,
بيت شباب فوقاني,المتن,,,
بيت صليبي,بعلبك,,,
بيت غطاس,عكار,,,
بيت مندر,بشري,,,
تبنين الكاثوليك,بنت جبيل,,,
تبنين ,بنت جبيل,ChIJhVUrCEGbHhUR4gqcUdCf6E8,33.1939915,35.4096731
تحويطة النهر,بعبدا,,,
ترتج,جبيل,,,
تل ذنوب,البقاع الغربي,,,
تلحميرة,عكار,,,
تولا الجبه,زغرتا,,,
جدرا - وادي الزينة,الشوف,,,
جرمنايا,عكار,,,
جنه ومار سركيس,جبيل,,,
حاجي جبلي,زحلة,,,
حارة البطم,بعبدا,,,
حارة الخاصة,الكوره,,,
حارة حريك ,بعبدا,ChIJSWNNEnwXHxURKJcuTQj_sa4,33.8520277,35.5153726
حارة حريك قرانوح,بعبدا,,,
حاصبيا ,حاصبيا,ChIJZRTqxJzGHhURSN1ub3SXoeU,33.3979078,35.6851499
حكر الشيخ طابا,عكار,,30.049433,31.2011875
حميص,زغرتا,,,
حور تعلا ,بعلبك,ChIJTWo0qAW7GBURQgbkQFoq8Kk,33.9182883,36.1414859
حوش الزراعنة,زحلة,,,
,صور,,,
,بنت جبيل,,,
,بعلبك,,,
,زحلة,,,
,زغرتا,,,
,النبطية,,,
,بشري,,,
,الهرمل,,,
,جزين,,,
خريبة الجرد,عكار,,,
خضربك,زحلة,,,
دار شمزين,الكوره,,,
داعل,البترون,,,
دملصا,جبيل,,,
دورس الشحاديه,بعلبك,,,
دورس ,بعلبك,ChIJsa-w7nakGBURGOQyS6IvJJQ,33.9910837,36.1725688
دوير الرمان,عاليه,,,
دير خونا وتلتيته,بعبدا,,,
ذوق الحبالصة,عكار,,,
ذوق المقشرين,عكار,,,
راشكيدا,البترون,,,
راشيا الفوقا,راشيَا,,,
راشيا ,راشيَا,ChIJiRpmT_fTHhURzk5rfnKBjZg,33.5018825,35.8398218
رشكده,البترون,,,
رماسا,بعلبك,,,
ريمات وشقاديف,جزين,,,
زغرتا ,زغرتا,ChIJC_zEGRb2IRURv9FKk2hF3M4,34.3963158,35.8958444
سردا والعمرا,مرجعيون,,,
سرعين الفوقا ,بعلبك,ChIJHVGEMeO5GBURMqzUCo4cgWY,33.878645,36.0928778
سلساتا,راشيَا,,,
سلفايا,عاليه,,,
سن الفيل ,المتن,ChIJNVIex7QXHxURSi8RktEcP4Q,33.8779688,35.5399541
شبعا الشرقي,حاصبيا,,,
شبعا الغربي,حاصبيا,,,
ش,الشوف,ChIJtWJgHSQXHxURNmwgjKZNCWM,33.8892488,35.493322
شعث ,بعلبك,ChIJ2fiVRW8LIhURzMn99QIUgKU,34.1399629,36.2352005
شمسطار الجنوبي,بعلبك,,,
شمسطار الشرقي,بعلبك,,,
شمسطار الشمالي,بعلبك,,,
شمسطار الغربي,بعلبك,,,
شمع,صور,,,
شهابية الفاعور,زحلة,,,
شوريت,الشوف,,,
صبوبا,بعلبك,,,
ضهر القنبر,عكار,,,
ضهور الهوا,الكوره,,,
طاريا الجنوبي,بعلبك,,,
طاريا الشمالي,بعلبك,,,
ظهر الليسينة,عكار,,,
عاليه وسطاني,عاليه,,,
عترين,الشوف,,,
عمار البيكات,عكار,,,
عنايا وكفربعال,جبيل,,,
عوره,البترون,,,
عين ابل ,بنت جبيل,ChIJUYU_VEWdHhURFFqk-xyOfeA,33.111568,35.4017195
عين الذهب (دنبو قديما),عكار,,,
عين الزرقا,صور,,,
عين السوداء,بعلبك,,,
عين الشلال,جبيل,,,
عين الغويبه,جبيل,,,
عين المرج,عاليه,,,
عين تراز,عاليه,,,
عين جويق,عاليه,,,
غزير الجامع,كسروان,,,
