Balda,RegCasa,place_id,Latitude,Longitude
الجديدة ,مرجعيون,ChIJg9XW4HPAHhURNvg_zUCLMbo,33.3591165,35.5928298
الحويش,عكار,ChIJpYs9ip08IhURspZ6-pboRrY,34.499231200000004,36.1181542
الخرنوب,الضنية,ChIJS6lkyjsZIhURQpwOjZlas5o,34.4027039,36.0161528
الخريبه ,بعلبك,ChIJp1n5BeW7GBURNB7Jb4fimP4,33.8728415,36.163050399999996
الخضر ,بعلبك,ChIJD6_730W6GBUR8IvzC2-DlRI,33.903622600000006,36.1205594
الديشونية,المتن,ChIJJa0rGmY9HxUREhRLGLesoHc,33.85127670000001,35.5762029
السنديانة,عكار,ChIJrVstoDY2IhURMNYHagb1EoM,34.576387,36.2454971
الشويفات ,عاليه,ChIJ1_J8-6oZHxURqnsofCx2iM8,33.8095311,35.51981129999999
الشياح ,بعبدا,ChIJrfnqEGEXHxURDPyp5-uFmiw,33.86598370000001,35.517538200000004
الغبيري ,بعبدا,ChIJSV-4XWYXHxURAvK-Sq-HiJc,33.8597816,35.5028843
الم,المتن,ChIJhRGpDiUWHxURMGsUjcJEHuw,33.88437570000001,35.557208100000004
المطيلب,المتن,ChIJ6do7tfs-HxURiNmKVqugdCI,33.92415379999999,35.6164919
المقيطع,عكار,ChIJexAPyBokIhURvH3n8PQtlC4,34.5584836,35.9990909
النبي شيت ال,بعلبك,ChIJnWkdYo25GBUR3HPz4mdZGDQ,33.8723008,36.1127818
النبي شيت ,بعلبك,ChIJnWkdYo25GBUR3HPz4mdZGDQ,33.8723008,36.1127818
النوره,عكار,ChIJp07VNLA2IhURDgvRiSa71xg,34.6201638,36.184406700000004
انان,جزين,ChIJZT7231rmHhURJiXJ6aDHROE,33.5680875,35.50831779999999
برج البراجنة ,بعبدا,ChIJsYxDrsQZHxURaOsRiLFJ6Ig,33.8434708,35.498735100000005
بريتال ,بعلبك,ChIJWVsIxju7GBURXiOTeqs6KhM,33.934864399999995,36.1480826
تبنين ,بنت جبيل,ChIJhVUrCEGbHhUR4gqcUdCf6E8,33.193991499999996,35.409673100000006
حارة حريك ,بعبدا,ChIJSWNNEnwXHxURKJcuTQj_sa4,33.8520277,35.5153726
حاصبيا ,حاصبيا,ChIJZRTqxJzGHhURSN1ub3SXoeU,33.3979078,35.6851499
حور تعلا ,بعلبك,ChIJTWo0qAW7GBURQgbkQFoq8Kk,33.9182883,36.1414859
دورس ,بعلبك,ChIJsa-w7nakGBURGOQyS6IvJJQ,33.991083700000004,36.17256879999999
راشيا ,راشيَا,ChIJiRpmT_fTHhURzk5rfnKBjZg,33.5018825,35.8398218
زغرتا ,زغرتا,ChIJC_zEGRb2IRURv9FKk2hF3M4,34.396315799999996,35.895844399999994
سرعين الفوقا ,بعلبك,ChIJHVGEMeO5GBURMqzUCo4cgWY,33.878645,36.0928778
سن الفيل ,المتن,ChIJNVIex7QXHxURSi8RktEcP4Q,33.8779688,35.5399541
ش,الشوف,ChIJtWJgHSQXHxURNmwgjKZNCWM,33.8892488,35.493322
شعث ,بعلبك,ChIJ2fiVRW8LIhURzMn99QIUgKU,34.13996289999999,36.2352005
عين ابل ,بنت جبيل,ChIJUYU_VEWdHhURFFqk-xyOfeA,33.111568,35.4017195
كفر,الشوف,ChIJE7Q7DMYfHxURBoShKDduezo,33.700609,35.53403370000001
مشيلحة الحاكور,عكار,ChIJM0436oMkIhURFL5JmF4_GUQ,34.525215700000004,36.0526417
نبحا ,بعلبك,ChIJ9yswEPoMIhUR1FGOucNXKUA,34.1832504,36.2259264
