Balda,RegCasa,place_id,Latitude,Longitude
أجدعبرين,الكوره,,,
ادونيس وسنور,جبيل,,,
اغميد,عاليه,,,
الانصار,بعلبك,,,
البرانية ,بعلبك,,,
البص قسم 1,صور,,,
البص قسم 3,صور,,,
البص قسم 5,صور,,,
البطال,الشوف,,,
البقيعه ومسرح,البترون,,,
البويضة,مرجعيون,,,
البويضة الشمالية,الهرمل,,,
التليل,عكار,,,
التوفيقيه,بعلبك,,,
التويتة,زحلة,,,
الجليلية,الشوف,,,
الحدث الشمالي,بعلبك,,,
الحدث الغربي,بعلبك,,,
الحدث قبلي,بعبدا,,,
الحويش,عكار,,,
الخاربة,جبيل,,,
الدكرمان,صيدا,,,
الدلافه,حاصبيا,,,
الدوسه,عكار,,,
الراسية التحتا,زحلة,,,
الراسية الفوقا,زحلة,,,
الريش الغربي,بعلبك,,,
الريش ,بعلبك,,,
الزويتيني,صيدا,,,
السريرة,جزين,,,
السفيرة,الضنية,,,
الشاويه والقنيطره,المتن,,,
الشواغير التحتا,الهرمل,,,
الشواغير الفوقا,الهرمل,,,
الصوانية,بعلبك,,,
الظهيرة,صور,,,
العبره وشوان,كسروان,,,
العقيدية,بعلبك,,,
العلاق,بعلبك,,,
الغباطية,جزين,,,
الفاكهه مار جرجس,بعلبك,,,
الفتاحات وهربونا,البترون,,,
الفرزل التحتا,زحلة,,,
الفرزل الفوقا,زحلة,,,
القبيات غوايا,عكار,,,
القبيات مرتموره,عكار,,,
القرنية,الهرمل,,,
الكحلونية,بعبدا,,,
الكشك,صيدا,,,
الكنان,صيدا,,,
المحتقرة ودير المخلص,الشوف,,,
المحيدثة,المتن,,,
المزاريب,جبيل,,,
المسالخية,صيدا,,,
المطل,الضنية,,,
المعلقة الشمالي,زحلة,,,
المغروبلا,بشري,,,
المغيري,جبيل,,,
المونسه,عكار,,,
الميدان الشرقي,زحلة,,,
الميدان الغربي,زحلة,,,
النبي شيت طبشار,بعلبك,,,
النبي نعام,بعلبك,,,
النقره,بعلبك,,,
النمورة و كفرجريف,كسروان,,,
النهريه وبستان الحرش,عكار,,,
الوقف,زحلة,,,
بتخنيه,بعبدا,,,
بتياس,زحلة,,,
بجدرفل,البترون,,,
بحنين وكفرتعلا,جزين,,,
بحواره,عاليه,,,
بخشتيه,عاليه,,,
بدبهون,الكوره,,,
بريتال اليونسية,بعلبك,,,
بريتال شميس,بعلبك,,,
بريتال شميس غربي,بعلبك,,,
بطلون,عاليه,,,
بعقلين التحتا,الشوف,,,
بعقلين الفوقا,الشوف,,,
بقاعكفرا,بشري,,,
بقرزلا,عكار,,,
بقعتوته,كسروان,,,
بني صخر,عكار,,,
بو زريده,عاليه,,,
بيت الككو,المتن,,,
بيت حاويك,الضنية,,,
بيت شباب تحتاني,المتن,,,
بيت شباب فوقاني,المتن,,,
بيت صليبي,بعلبك,,,
بيت غطاس,عكار,,,
بيت مندر,بشري,,,
تبنين الكاثوليك,بنت جبيل,,,
تحويطة النهر,بعبدا,,,
ترتج,جبيل,,,
تل ذنوب,البقاع الغربي,,,
تلحميرة,عكار,,,
تولا الجبه,زغرتا,,,
جدرا - وادي الزينة,الشوف,,,
جرمنايا,عكار,,,
جنه ومار سركيس,جبيل,,,
حاجي جبلي,زحلة,,,
حارة البطم,بعبدا,,,
حارة الخاصة,الكوره,,,
حارة حريك قرانوح,بعبدا,,,
حكر الشيخ طابا,عكار,,30.049433,31.2011875
حميص,زغرتا,,,
حوش الزراعنة,زحلة,,,
,صور,,,
,بنت جبيل,,,
,بعلبك,,,
,زحلة,,,
,زغرتا,,,
,النبطية,,,
,بشري,,,
,الهرمل,,,
حيتولي ووادي الليمون,جزين,,,
خريبة الجرد,عكار,,,
خضربك,زحلة,,,
دار شمزين,الكوره,,,
داعل,البترون,,,
دملصا,جبيل,,,
دورس الشحاديه,بعلبك,,,
دوير الرمان,عاليه,,,
دير خونا وتلتيته,بعبدا,,,
ذوق الحبالصة,عكار,,,
ذوق المقشرين,عكار,,,
راشكيدا,البترون,,,
راشيا الفوقا,راشيَا,,,
رشكده,البترون,,,
رماسا,بعلبك,,,
ريمات وشقاديف,جزين,,,
سردا والعمرا,مرجعيون,,,
سلساتا,راشيَا,,,
سلفايا,عاليه,,,
شبعا الشرقي,حاصبيا,,,
شبعا الغربي,حاصبيا,,,
شمسطار الجنوبي,بعلبك,,,
شمسطار الشرقي,بعلبك,,,
شمسطار الشمالي,بعلبك,,,
شمسطار الغربي,بعلبك,,,
شمع,صور,,,
شهابية الفاعور,زحلة,,,
شوريت,الشوف,,,
صبوبا,بعلبك,,,
ضهر القنبر,عكار,,,
ضهور الهوا,الكوره,,,
طاريا الجنوبي,بعلبك,,,
طاريا الشمالي,بعلبك,,,
ظهر الليسينة,عكار,,,
عاليه وسطاني,عاليه,,,
عترين,الشوف,,,
عمار البيكات,عكار,,,
عنايا وكفربعال,جبيل,,,
عوره,البترون,,,
عين الذهب (دنبو قديما),عكار,,,
عين الزرقا,صور,,,
عين السوداء,بعلبك,,,
عين الشلال,جبيل,,,
عين الغويبه,جبيل,,,
عين المرج,عاليه,,,
عين تراز,عاليه,,,
عين جويق,عاليه,,,
غزير الجامع,كسروان,,,
غزير القناة,كسروان,,,
غفره,بعلبك,,,
فرض,عكار,,30.051626000000002,31.2341402
فيسان,الهرمل,,,
قب الياس التحتا,زحلة,,,
قب الياس الفوقا,زحلة,,,
قبة دورس,بعلبك,,,
قبلي,عاليه,,,
قتالي,جزين,,,
قرحه,عكار,,,
قرطبا الجنوبية,جبيل,,,
قرطبا الشمالية,جبيل,,,
قطين وحيداب,جزين,,,
قلد السبع,بعلبك,,,
قليا,البقاع الغربي,,,
قندولا,البترون,,,
قنيور,بشري,,,
كابوسية,زحلة,,,
كفربنين,المنية,,,
كفرتون,عكار,,,
كفرتيه,المتن,,,
كفرجرة,جزين,,,
كفرحي,الشوف,,,
كفردان الغربي,بعلبك,,,
كفردبش,بعلبك,,,
كفرشلان,المنية,,,
كفرشليمان,البترون,,,
كفرقطرة,الشوف,,,
كفرمسحون,جبيل,,,
كفرنون,عكار,,,
مار شعيا والمزكه,المتن,,,
مجدلونا,الشوف,,,
محلة المسيحيين,بعلبك,,,
مدوخا,راشيَا,,,
مراح السراج,المنية,,,
مراح السفيره,الضنية,,,
مزرعة آل سويدان,بعلبك,,,
مزرعة ابو صليبي,بعلبك,,,
مزرعة التوت,بعلبك,,,
مزرعة الضليل,بعلبك,,,
مزرعة الفريديس,زغرتا,,,
مزرعة المطحنة,جزين,,,
مزرعة بيت الفقيه,الهرمل,,,
مزرعة بيت مطر,بعلبك,,,
مزرعة حوقا,زغرتا,,,
مزرعة سجد,الهرمل,,,
مصنع الزهره,بعلبك,,,
مقنه,بعلبك,,,
مكسر العبد,صيدا,,,
نبحا المحفارة,بعلبك,,,
نحلا,البترون,,,
هرهريا والقطين,كسروان,,,
هيتلا,عكار,,,
وادي الرطل,الهرمل,,,
وادي الزين,بعلبك,,,
وادي الصفا الشرقي,بعلبك,,,
وادي العس,الهرمل,,,
وادي المشمشه,بعلبك,,,
وادي بنحلية,الشوف,,,
وادي بنيت,الهرمل,,,
يوغون اولوك,زحلة,,,
