Balda,RegCasa,place_id,Latitude,Longitude
أجدعبرين,الكوره,,,
ادونيس وسنور,جبيل,,,
اغميد,عاليه,,,
الانصار,بعلبك,,,
البرانية حي المسيحيين,بعلبك,,,
البص قسم 1,صور,,,
البص قسم 3,صور,,,
البص قسم 5,صور,,,
البطال,الشوف,,,
البقيعه ومسرح,البترون,,,
البويضة,مرجعيون,,,
البويضة الشمالية,الهرمل,,,
التليل,عكار,,,
التوفيقيه,بعلبك,,,
التويتة,زحلة,,,
الجديدة حي السراي,مرجعيون,,,
الجديدة حي العيون,مرجعيون,,,
الجديدة حي القلعة,مرجعيون,,,
الجديدة حي المدارس,مرجعيون,,,
الجليلية,الشوف,,,
الحدث الشمالي,بعلبك,,,
الحدث الغربي,بعلبك,,,
الحدث قبلي,بعبدا,,,
الحويش,عكار,,,
الخاربة,جبيل,,,
الخرنوب,الضنية,,,
الخريبه حي الجامع,بعلبك,,,
الخضر حي آل الاشعل,بعلبك,,,
الخضر حي الشعب,بعلبك,,,
الدكرمان,صيدا,,,
الدلافه,حاصبيا,,,
الدلهمية,زحلة,,,
الدوسه,عكار,,,
الديشونية,المتن,,,
الراسية التحتا,زحلة,,,
الراسية الفوقا,زحلة,,,
الريش الغربي,بعلبك,,,
الريش حي الشميس,بعلبك,,,
الزويتيني,صيدا,,,
السريرة,جزين,,,
السفيرة,الضنية,,,
السنديانة,عكار,,,
الشاويه والقنيطره,المتن,,,
الشواغير التحتا,الهرمل,,,
الشواغير الفوقا,الهرمل,,,
الشويفات حي الامراء,عاليه,,,
الشويفات حي القبة,عاليه,,,
الشياح حي الكنيسة,بعبدا,,,
الصوانية,بعلبك,,,
الظهيرة,صور,,,
العبره وشوان,كسروان,,,
العقيدية,بعلبك,,,
العلاق,بعلبك,,,
الغباطية,جزين,,,
الغبيري حي الجامع,بعبدا,,,
الفاكهه مار جرجس,بعلبك,,,
الفتاحات وهربونا,البترون,,,
الفرزل التحتا,زحلة,,,
الفرزل الفوقا,زحلة,,,
القبيات غوايا,عكار,,,
القبيات مرتموره,عكار,,,
القرنية,الهرمل,,,
الكحلونية,بعبدا,,,
الكشك,صيدا,,,
الكنان,صيدا,,,
المجذوب و مزهر,المتن,,,
المحتقرة ودير المخلص,الشوف,,,
المحيدثة,المتن,,,
المزاريب,جبيل,,,
المسالخية,صيدا,,,
المطل,الضنية,,,
المطيلب,المتن,,,
المعلقة الشمالي,زحلة,,,
المغروبلا,بشري,,,
المغيري,جبيل,,,
المقيطع,عكار,,,
المونسه,عكار,,,
الميدان الشرقي,زحلة,,,
الميدان الغربي,زحلة,,,
النبي شيت الحي الجنوبي,بعلبك,,,
النبي شيت الحي الشمالي,بعلبك,,,
النبي شيت الحي العريض,بعلبك,,,
النبي شيت حي الجامع,بعلبك,,,
النبي شيت حي العقبه,بعلبك,,,
النبي شيت طبشار,بعلبك,,,
النبي نعام,بعلبك,,,
النفاخية,صور,,,
النقره,بعلبك,,,
النمورة و كفرجريف,كسروان,,,
النهريه وبستان الحرش,عكار,,,
النوره,عكار,,,
الوقف,زحلة,,,
انان,جزين,,,
بتخنيه,بعبدا,,,
بتياس,زحلة,,,
بجدرفل,البترون,,,
بحنين وكفرتعلا,جزين,,,
بحواره,عاليه,,,
بخشتيه,عاليه,,,
بدبهون,الكوره,,,
برج البراجنة حي السنديان,بعبدا,,,
برج البراجنة حي السياد,بعبدا,,,
برج البراجنة حي المنشية,بعبدا,,,
بريتال اليونسية,بعلبك,,,
بريتال حي التين,بعلبك,,,
بريتال شميس,بعلبك,,,
بريتال شميس غربي,بعلبك,,,
بطلون,عاليه,,,
بعقلين التحتا,الشوف,,,
بعقلين الفوقا,الشوف,,,
بقاعكفرا,بشري,,,
بقرزلا,عكار,,,
بقعتوته,كسروان,,,
بني صخر,عكار,,,
بو زريده,عاليه,,,
بيت الككو,المتن,,,
بيت حاويك,الضنية,,,
بيت شباب تحتاني,المتن,,,
بيت شباب فوقاني,المتن,,,
بيت صليبي,بعلبك,,,
بيت غطاس,عكار,,,
بيت مندر,بشري,,,
تبنين الكاثوليك,بنت جبيل,,,
تبنين حي آل بري,بنت جبيل,,,
تبنين حي التحتاني,بنت جبيل,,,
تبنين حي الفوقاني,بنت جبيل,,,
تحويطة النهر,بعبدا,,,
ترتج,جبيل,,,
تل ذنوب,البقاع الغربي,,,
تلحميرة,عكار,,,
تولا الجبه,زغرتا,,,
جدرا - وادي الزينة,الشوف,,,
جرمنايا,عكار,,,
جنه ومار سركيس,جبيل,,,
حاجي جبلي,زحلة,,,
حارة البطم,بعبدا,,,
حارة الخاصة,الكوره,,,
حارة حريك حي الرويس,بعبدا,,,
حارة حريك حي الكنيسة,بعبدا,,,
حارة حريك قرانوح,بعبدا,,,
حاصبيا حي السراي,حاصبيا,,,
حاصبيا حي العين,حاصبيا,,,
حاصبيا حي الفوقاني,حاصبيا,,,
حاصبيا حي صفيفة,حاصبيا,,,
حكر الشيخ طابا,عكار,,30.049433,31.2011875
حميص,زغرتا,,,
حور تعلا حي الشعب,بعلبك,,,
حور تعلا حي الوادي,بعلبك,,,
حوش الزراعنة,زحلة,,,
حي الارثوذكس,صور,,,
حي البركه,بنت جبيل,,,
حي الجامع,بنت جبيل,,,
حي الجورة,صور,,,
حي الحسينيه,بنت جبيل,,,
حي الحوارة,بنت جبيل,,,
حي الريش الشرقي,بعلبك,,,
حي الست,بعلبك,,,
حي السلم,زحلة,,,
حي السيدة,زحلة,,,
حي السيده الغربي,زغرتا,,,
حي الصلح,بعلبك,,,
حي الصليب الجنوبي,زغرتا,,,
حي الصليب الشمالي,زغرتا,,,
حي العباسيه,بعلبك,,,
حي الكاثوليك,صور,,,
حي المسيحين,النبطية,,,
حي المصاروي,صور,,,
حي المعاصر,زغرتا,,,
حي المقدمين,بشري,,,
حي الميدان,النبطية,,,
حي الوقف,الهرمل,,,
حي عين الصغيره,بنت جبيل,,,
حي مار يوحنا,بشري,,,
حيتولي ووادي الليمون,جزين,,,
خريبة الجرد,عكار,,,
خضربك,زحلة,,,
دار شمزين,الكوره,,,
داعل,البترون,,,
دملصا,جبيل,,,
دورس الشحاديه,بعلبك,,,
دورس حي البير,بعلبك,,,
دورس حي السيدة,بعلبك,,,
دوير الرمان,عاليه,,,
دير خونا وتلتيته,بعبدا,,,
ذوق الحبالصة,عكار,,,
ذوق المقشرين,عكار,,,
راشكيدا,البترون,,,
راشيا الفوقا,راشيَا,,,
راشيا حي الكواسبي,راشيَا,,,
راشيا حي الميدان,راشيَا,,,
رشكده,البترون,,,
رماسا,بعلبك,,,
ريمات وشقاديف,جزين,,,
زغرتا حي السيدة الشرقي,زغرتا,,,
سردا والعمرا,مرجعيون,,,
سرعين الفوقا حي الجامع,بعلبك,,,
سرعين الفوقا حي الحارة,بعلبك,,,
سلساتا,راشيَا,,,
سلفايا,عاليه,,,
سن الفيل حي الجديد,المتن,,,
سن الفيل حي الحرج,المتن,,,
شبعا الشرقي,حاصبيا,,,
شبعا الغربي,حاصبيا,,,
شحيم حي البدوي,الشوف,,,
شحيم حي البيادر,الشوف,,,
شحيم حي السهلة,الشوف,,,
شحيم حي الشريفة,الشوف,,,
شحيم حي الوسطاني,الشوف,,,
شحيم حي شحرور,الشوف,,,
شعث حي الجامع,بعلبك,,,
شعث حي الضهر,بعلبك,,,
شمسطار الجنوبي,بعلبك,,,
شمسطار الشرقي,بعلبك,,,
شمسطار الشمالي,بعلبك,,,
شمسطار الغربي,بعلبك,,,
شمع,صور,,,
شهابية الفاعور,زحلة,,,
شوريت,الشوف,,,
صبوبا,بعلبك,,,
ضهر القنبر,عكار,,,
ضهور الهوا,الكوره,,,
طاريا الجنوبي,بعلبك,,,
طاريا الشمالي,بعلبك,,,
ظهر الليسينة,عكار,,,
عاليه وسطاني,عاليه,,,
عترين,الشوف,,,
عمار البيكات,عكار,,,
عنايا وكفربعال,جبيل,,,
عوره,البترون,,,
عين ابل حي الدير,بنت جبيل,,,
عين ابل حي العين,بنت جبيل,,,
عين ابل حي الكنيسة,بنت جبيل,,,
عين الذهب (دنبو قديما),عكار,,,
عين الزرقا,صور,,,
عين السوداء,بعلبك,,,
عين الشلال,جبيل,,,
عين الغويبه,جبيل,,,
عين المرج,عاليه,,,
عين تراز,عاليه,,,
عين جويق,عاليه,,,
