Balda,RegCasa,place_id,Latitude,Longitude
أجدعبرين,الكوره,,,
أفقا,جبيل,ChIJ4_rUieNSHxUR2jw0wC9W4pI,34.0699048,35.8860993
ابل السقي,مرجعيون,ChIJG8EiPJTAHhURNqAPDB60l1M,33.3572785,35.6275686
ابلح,زحلة,ChIJf6-TZ521GBURPkqTqq4Jxxg,33.8668951,35.9593599
ابو قمحة,حاصبيا,ChIJ1wugEM_GHhURFGmHsCaSM9g,33.3825588,35.6621669
ابو ميزان,المتن,ChIJewT-popHHxURhp3l4opdXFg,33.936769,35.7179735
اجبع,زغرتا,ChIJKw04PMICIhUR2gXLnmvouN4,34.30881520000001,35.9433792
اجدبرا,البترون,ChIJbw0w3nJVHxUR4wX_1Id_cvc,34.249832,35.6642904
ادما الدفنه,كسروان,ChIJvUrxTEFBHxURNQ6YixlA3sA,34.0260791,35.6367369
اده,البترون,ChIJYwPgh_RYHxURrCZdf94Lpgg,34.2343721,35.6922171
ادونيس وسنور,جبيل,,,
ارده,زغرتا,ChIJT8HXhAEeIhURINdByYcjxCY,34.4080321,35.9147179
ارزون,صور,ChIJ_TX44OiPHhURPGD7nZUX08U,33.2828844,35.3769757
ارزي,صيدا,ChIJ7w6h79GOHhUR5T4L0hXyVR4,33.3373127,35.3090551
ارصون,بعبدا,ChIJMb3XmtI7HxUReKXywwhZg0I,33.8603792,35.6905583
اركي,صيدا,ChIJCceSAr3tHhURIuCML1sY-Hg,33.4623459,35.415094
ارنون,النبطية,ChIJMUa6jauVHhURiAgILoiVIfQ,33.3315081,35.5258779
اسلوت,زغرتا,ChIJi95pMNQcIhURWJpgeaRFywk,34.324574,35.9620959
اصنون,زغرتا,ChIJnZKkh0v2IRUREMRHFXEILh4,34.3870224,35.8880755
اصيا,البترون,ChIJCwlz2qNYHxURmHIDmp8reck,34.249832,35.6642904
اغبه,كسروان,ChIJaajN8G9GHxUR3FEidP28kLY,34.0090756,35.7061467
اغميد,عاليه,,,
اكروم,عكار,ChIJ0a37atI6IhURVKKXUT_rIZg,34.5549061,36.093277
الاشرفية,بيروت,ChIJjS91nv8WHxURzBaBOflEp-8,33.8868891,35.5191704
الانصار,بعلبك,,,
البابلية,صيدا,ChIJAeK2ENmMHhUR5txOjvD-2fo,33.4217267,35.3431251
الباروك,الشوف,ChIJE4CAN70mHxURntvtx-8tTrI,33.7071454,35.6736186
البازورية,صور,ChIJ0UbjW_CGHhURJHv0qLRd4KA,33.2540738,35.271543
الباشورة,بيروت,ChIJhzi8zx8XHxUR3VV4gl4jGlg,33.8915689,35.5024498
البترون,البترون,ChIJCefGTLJYHxURrdwFVHrEaP0,34.249832,35.6642904
البحصاص,الكوره,ChIJ0bps4TLxIRURM7wHg0xV-bk,34.4167955,35.8263736
البحيره,زغرتا,ChIJEUJ2uzv4IRURK7EoY-UGdYc,34.3341042,35.8862622
البداوي,طرابلس,ChIJ0a28AbX1IRUR1GyVR8G0XGA,34.4528555,35.8646307
البرامية,صيدا,ChIJOairkv_vHhURLiUIiWgqTkg,33.575125,35.3918864
البرانية حي المسيحيين,بعلبك,,,
البرباره,زحلة,ChIJ05nxojw1HxURpt9qQOunIF4,33.8495019,35.8994301
البرج,عكار,ChIJrQP7T9FYHxUR2MkyHp_ir7I,34.2336802,35.65946479999999
البرجين,الشوف,ChIJdcbjgXnhHhURZB0SZdK-YRw,33.6574954,35.4864223
البرغلية,صور,ChIJV-MAUHSIHhURUrlZe9y_NCQ,33.3142997,35.2402445
البساتين,عاليه,ChIJ_9Eu-y4fHxURGGAOi5kg3uk,33.7582664,35.5295578
البستان,صور,ChIJq6XdB6orHBURUHSuVm3446M,33.1009192,35.2550313
البص قسم 1,صور,,,
البص قسم 3,صور,,,
البص قسم 5,صور,,,
البطال,الشوف,,,
البقيعة,عكار,ChIJPUhSKaa0IxURTuxtm0rKoQE,34.6619784,36.3467284
البقيعه ومسرح,البترون,,,
البنيه,عاليه,ChIJEV2H724fHxURXOJJYqIVu5o,33.7355479,35.5483983
البوار,كسروان,ChIJWcRezOBDHxURJzsQMhmQSN8,34.0473482,35.6332308
البوشرية,المتن,ChIJrfzZVSgWHxUR3hJ802aael0,33.8787159,35.5631773
البويضة,مرجعيون,,,
البويضة الشمالية,الهرمل,,,
البياض,صور,ChIJYdMSiHWEHhURih499TpjmWY,33.2041464,35.3281588
البيره,الشوف,ChIJIxTjB1shHxURkl_V-fsUdBE,33.7216337,35.6389509
البيساريه,صيدا,ChIJCecjbUrzHhUREb8RjXFO8_U,33.4447816,35.3238428
التبانة,طرابلس,ChIJ6cU8Fh_0IRURKKijKXoQBaU,34.4399022,35.8480042
التعزانيه,عاليه,ChIJAT0YhA8jHxURQnnbchxXPy0,33.7816985,35.6208651
التل,طرابلس,ChIJ96MMgqj2IRURuEglSO4hja4,34.43659830000001,35.8388797
التليل,عكار,,,
التوفيقيه,بعلبك,,,
التويتة,زحلة,,,
الجاهلية,الشوف,ChIJzf2wZrDhHhURHHP27IYXUNs,33.6655531,35.5121265
الجبانيه,بعلبك,ChIJT8D4hxsMIhURrN_cz0Gb9so,34.1813158,36.18169650000001
الجبين,صور,ChIJye2xvN0qHBURDFNlPzTeXDU,33.1228816,35.2351549
الجديدة,المتن,ChIJ6ZepCh8WHxURTAk1IjyPoMI,33.8918998,35.5630426
الجديدة حي السراي,مرجعيون,,,
الجديدة حي العيون,مرجعيون,,,
