Da2ira,ListName,ListExtraVote,Candidate Name,Religion,Da2ira Soughra,List,Votes,,,
جبل لبنان الأولى,List1,250,Fadi_L1,ماروني,كسروان,List1,7000,,,
,List2,170,Jano_L1,ماروني,كسروان,List1,5000,,,
,List3,100,Charbel_L1,ماروني,كسروان,List1,3000,,,
,List4,50,Elie_L1,ماروني,كسروان,List1,3500,,,
,,,Tony_L1,ماروني,كسروان,List1,2500,21000,2.931124516,
,,,A_L2,ماروني,كسروان,List2,9900,,,
,,,B_L2,ماروني,كسروان,List2,3000,,,
,,,C_L2,ماروني,كسروان,List2,1600,,,
,,,D_L2,ماروني,كسروان,List2,3500,,,
,,,E_L2,ماروني,كسروان,List2,1600,19600,2.421896102,
,,,Nicolas,ماروني,كسروان,List3,2100,,,
,,,Karim,ماروني,كسروان,List3,1700,,,
,,,Hanna,ماروني,كسروان,List3,2800,,,
,,,Jack,ماروني,كسروان,List3,1100,,,
,,,Mounir,ماروني,كسروان,List3,1200,8900,1.638606284,
,,,Walid_L1,ماروني,جبيل,List1,4200,,,
,,,Franco_L1,ماروني,جبيل,List1,2356,,,
,,,Mohsen_L1,شيعي,جبيل,List1,5000,11556,,
,,,F_L2,ماروني,جبيل,List2,3000,,,
,,,G_L2,ماروني,جبيل,List2,2500,,,
,,,Hassan_L2,شيعي,جبيل,List2,1800,7300,,
,,,Nadim,ماروني,جبيل,List3,3000,,,
,,,Laurent,ماروني,جبيل,List3,6300,9300,,
,,,A_L4,ماروني,كسروان,List4,3200,,,
,,,B_L4,ماروني,كسروان,List4,3000,,,
,,,C_L4,ماروني,جبيل,List4,3000,,,
,,,D_L4,شيعي,جبيل,List4,2000,11200,1.008373098,
,,,,,,,,,88856,11107
