Da2ira,ListName,ListExtraVote,Candidate Name,Religion,Da2ira Soughra,List,Votes
جبل لبنان الأولى,List1,200,Fadi_L1,ماروني,كسروان,List1,7000
,List2,150,Jano_L1,ماروني,كسروان,List1,5000
,List3,175,Charbel_L1,ماروني,كسروان,List1,3000
,List4,3900,Elie_L1,ماروني,كسروان,List1,3500
,Blank,100,Tony_L1,ماروني,كسروان,List1,2800
,,,A_L2,ماروني,كسروان,List2,8925
,,,B_L2,ماروني,كسروان,List2,1700
,,,C_L2,ماروني,كسروان,List2,400
,,,D_L2,ماروني,كسروان,List2,2200
,,,E_L2,ماروني,كسروان,List2,400
,,,Nicolas,ماروني,كسروان,List3,2100
,,,Karim,ماروني,كسروان,List3,1700
,,,Hanna,ماروني,كسروان,List3,2800
,,,Jack,ماروني,كسروان,List3,600
,,,Mounir,ماروني,كسروان,List3,200
,,,Walid_L1,ماروني,جبيل,List1,4200
,,,Franco_L1,ماروني,جبيل,List1,2100
,,,Mohsen_L1,شيعي,جبيل,List1,5000
,,,F_L2,ماروني,جبيل,List2,2000
,,,G_L2,ماروني,جبيل,List2,300
,,,Hassan_L2,شيعي,جبيل,List2,800
,,,Nadim,ماروني,جبيل,List3,3000
,,,Laurent,ماروني,جبيل,List3,6300
,,,A_L4,ماروني,كسروان,List4,10200
,,,B_L4,ماروني,كسروان,List4,3500
,,,C_L4,ماروني,جبيل,List4,3000
,,,D_L4,شيعي,جبيل,List4,2750
