Da2ira,ListName,ListExtraVote,Candidate Name,Religion,Da2ira Soughra,List,Votes
الجنوب الأولى,List1,10000,Ahmad,سني,صيدا,List1,9000
,List2,15000,Rafic,سني,صيدا,List1,11000
,List3,1500,Omar,سني,صيدا,List2,12000
,,,Mohamad,سني,صيدا,List3,1000
,,,Tony,ماروني,جزين,List1,20000
,,,Mohsen,سني,صيدا,List2,8000
,,,Nicolas,روم كاثوليك,جزين,List1,7000
,,,Chris,روم كاثوليك,جزين,List2,14000
,,,Jean,ماروني,جزين,List3,1500
,,,Ziad,روم كاثوليك,جزين,List3,500
,,,Marc,ماروني,جزين,List1,13000
,,,Abdo,ماروني,جزين,List2,18000
,,,Khalil,ماروني,جزين,List3,500
,,,Wissam,ماروني,جزين,List2,8000
