Da2ira,ListName,ListExtraVote,Candidate Name,Religion,Da2ira Soughra,List,Votes,Pref Votes %,Win/Loss
الجنوب الأولى,List1,6000.0,Omar,سني,صيدا,List2,12000.0,30.0,Winner
,List2,19000.0,Rafic,سني,صيدا,List1,11000.0,27.500000000000004,Winner
,,,Tony,ماروني,جزين,List1,20000.0,25.0,Winner
,,,Ahmad,سني,صيدا,List1,9000.0,22.5,Loser
,,,Abdo,ماروني,جزين,List2,18000.0,22.5,Winner
,,,Mohsen,سني,صيدا,List2,8000.0,20.0,Loser
,,,Marc,ماروني,جزين,List1,13000.0,16.25,Loser
,,,Nicolas,روم كاثوليك,جزين,List1,11000.0,13.750000000000002,Loser
,,,Chris,روم كاثوليك,جزين,List2,10000.0,12.5,Winner
,,,Wissam,ماروني,جزين,List2,8000.0,10.0,Loser
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
